2005EL70,66.0*,2034-03-05 23:20,1/5.62E6,-5.49,0,37.25,4399
2007DS7,29.0*,2075-02-17 10:13,1/95238,-5.5,0,16.69,3672
2011EB74,18.0*,2054-03-16 12:20,1/30030,-5.51,0,13.39,2154
2002TY59,35.0*,2110-10-03 10:52,1/75187,-5.52,0,13.88,5248
2015KG158,9.0*,2071-05-14 21:32,1/5882,-5.53,0,13.57,642
2002VU17,47.0*,2099-11-17 07:11,1/258397,-5.53,0,17.68,5226
2016LP10,5.0*,2023-06-10 10:41,1/24390,-5.58,0,19.26,276
2016BA15,18.0*,2056-07-18 21:13,1/87719,-5.58,0,19.42,407
2011SM173,12.0*,2058-09-22 03:55,1/21739,-5.58,0,18.09,1991
2016JB18,14.0*,2098-04-14 04:22,1/9174,-5.59,0,11.64,307
2017FR102,49.0*,2089-03-08 12:43,1/361010,-5.61,0,15.25,16
2012BY1,29.0*,2043-01-25 16:47,1/427350,-5.61,0,21.39,1879
2010VW194,21.0*,2079-11-12 19:31,1/42735,-5.61,0,13.34,2308
2015XR169,7.0*,2062-12-13 16:24,1/5681,-5.62,0,14.69,458
2010XN69,24.0*,2055-01-08 09:40,1/64102,-5.62,0,12.25,2154
2015ME131,500.0*,2019-02-16 22:12,1/8.77E9,-5.63,0,25.68,601
2016CD30,12.0*,2070-01-31 17:21,1/19569,-5.64,0,15.36,400
2012LJ,32.0*,2072-11-10 21:45,1/303951,-5.64,0,21.77,1737
2009OW6,36.0*,2080-08-20 10:42,1/153609,-5.64,0,13.02,2784
2017FN1,3.0*,2033-03-20 22:58,1/4405,-5.65,0,21.14,23
2016PO66,160.0*,2021-09-06 06:16,1/1.62E8,-5.65,0,21.09,207
2012VE77,23.0*,2035-11-18 01:39,1/289855,-5.66,0,18.93,1578
2016RR1,12.0*,2102-09-03 22:39,1/8620,-5.67,0,13.07,187
2016AF9,160.0*,2083-12-23 13:58,1/3.14E7,-5.67,0,37.43,443
2009CZ1,53.0*,2058-02-19 00:59,1/1.38E6,-5.67,0,20.97,2958
2015BW516,12.0*,2052-01-30 21:48,1/32894,-5.68,0,15.95,645
2014FX32,41.0*,2076-03-12 03:26,1/298507,-5.69,0,14.38,1105
2015WN1,21.0*,2092-11-11 22:26,1/47846,-5.69,0,14.29,478
2010HS20,90.0*,2071-07-01 09:42,1/1.98E6,-5.69,0,14.03,2527
2007CC27,18.0*,2075-02-12 10:03,1/43290,-5.7,0,15.6,3679
2014YN,30.0*,2100-11-10 07:24,1/78125,-5.71,0,11.65,813
2016VB1,8.0*,2078-10-20 23:05,1/7092,-5.73,0,12.46,132
2013HT150,35.0*,2093-10-19 12:30,1/282485,-5.74,0,18.62,1295
2012TC4,19.0*,2038-10-12 19:29,1/114416,-5.76,0,12.93,1653
2010UH,16.0*,2115-07-14 11:25,1/19646,-5.76,0,13.06,2337
2004PU42,19.0*,2085-08-17 01:28,1/46296,-5.78,0,15.07,4594
2014QC391,13.0*,2100-09-07 05:56,1/17513,-5.8,0,13.53,921
2010JL88,19.0*,2082-05-18 21:20,1/78125,-5.81,0,18.61,2492
